CSE_PROD,CVE_PROD,LUGAR,EXISTENCIA,MED_PROD,FECH_UMOD,INV_INI,LOTE,FECH_LOTE,REF_LOTE,COSTO_PROM,NEW_MED,COSTUEPEPS,COSTOPROM2
MED,ACO1,GENERAL,316.0,0.0,2025-10-22,,OB250031,2028-01-31,,31.5,,0.0,31.5
MED,ACO1,GENERAL,0.0,0.0,2025-08-29,,OG240111,2027-06-01,,0.0,,,
MED,ACO12,GENERAL,577.0,0.0,2025-08-28,,M2501313,2027-01-31,,21.0,,,
MED,ACO12,GENERAL,162.0,0.0,2025-10-21,,M2501320,2027-01-01,,21.0,,0.0,21.0
MED,ACO13,GENERAL,503.0,0.0,2025-10-22,,M2410929,2026-11-30,,21.0,,0.0,21.0
MED,ACO14,GENERAL,0.0,0.0,2025-08-29,,M2410927,2026-11-30,,0.0,,,
MED,ACO16,GENERAL,0.0,0.0,2025-08-29,,M2409732,2027-09-01,,0.0,,,
MED,ACO16,GENERAL,0.0,0.0,2025-08-26,,M2501185,2028-01-31,,0.0,,,
MED,ACO20,GENERAL,31.0,0.0,2025-08-13,,4G0031,2028-07-31,,157.5,,,
MED,ACO21,GENERAL,0.0,0.0,2025-08-28,,OD240061,2027-04-01,,0.0,,,
MED,ACO21,GENERAL,0.0,0.0,2025-10-22,,OJ240101,2027-09-30,,0.0,,0.0,163.0
MED,ACO22,GENERAL,3.0,0.0,2025-08-29,,M2410750,2026-10-31,,16.22,,,
MED,ACO4,GENERAL,0.0,0.0,2025-08-29,,M2501445,2027-02-28,,0.0,,,
MED,ACO6,GENERAL,1116.0,0.0,2025-10-22,,42159,2026-12-31,,21.0,,0.0,21.0
MED,ACO7,GENERAL,0.0,0.0,2025-08-28,,M2410267,2026-09-01,,0.0,,,
MED,AG1,GENERAL,0.0,0.0,2025-08-15,,0506250108,2030-06-05,,0.0,,,
MED,AG1,GENERAL,0.0,0.0,2025-08-28,,2506250108,2030-06-25,,0.0,,,
MED,AG1,GENERAL,0.0,0.0,2025-08-28,,2807250157,2030-07-28,,0.0,,,
MED,AG1,GENERAL,0.0,0.0,2025-08-29,,2904240138,2029-04-26,,0.0,,,
