CVE_PROD,NLISPRE,LMARGEN,LPRECPROD,LDCTO1P,LDCTO2P,LEXCDESD,LEXCHAST
COL9,1,25.0,70.99,0.0,0.0,0.0,0.0
COL23,1,25.0,32.08,0.0,0.0,0.0,0.0
COL53,1,30.0,37.7,0.0,0.0,0.0,0.0
COL54,1,20.0,24.05,0.0,0.0,0.0,0.0
COL55,1,25.0,15.0,0.0,0.0,0.0,0.0
COL58,1,25.0,24.94,0.0,0.0,0.0,0.0
COL60,1,25.0,52.5,0.0,0.0,0.0,0.0
COL70,1,30.0,41.89,0.0,0.0,0.0,0.0
LAND5,1,25.0,30.38,0.0,0.0,0.0,0.0
SNA4,1,25.0,24.38,15.0,0.0,0.0,0.0
SNA7,1,25.0,23.71,15.0,0.0,0.0,0.0
MAV195,1,20.0,79.2,0.0,0.0,0.0,0.0
SNA14,1,25.0,64.78,15.0,0.0,0.0,0.0
SNA15,1,30.0,115.4,0.0,0.0,0.0,0.0
SNA17,1,25.0,21.06,15.0,0.0,0.0,0.0
SNA20,1,30.0,136.12,0.0,0.0,0.0,0.0
SNA21,1,25.0,72.69,15.0,0.0,0.0,0.0
SNA23,1,25.0,32.43,15.0,0.0,0.0,0.0
SNA24,1,25.0,29.05,15.0,0.0,0.0,0.0
SER27,1,20.0,218.18,0.0,0.0,0.0,0.0
SNA28,1,25.0,1.25,15.0,0.0,0.0,0.0
SNA32,1,25.0,26.08,15.0,0.0,0.0,0.0
MAV36,1,25.0,42.9,0.0,0.0,0.0,0.0
MAV51,1,20.0,15.6,0.0,0.0,0.0,0.0
MAV61,1,25.0,9.29,0.0,0.0,0.0,0.0
MAV82,1,30.0,62.4,0.0,0.0,0.0,0.0
MAV105,1,25.0,10.63,0.0,0.0,0.0,0.0
MAV111,1,20.0,21.78,0.0,0.0,0.0,0.0
MAV113,1,20.0,7.7,0.0,0.0,0.0,0.0
OFE1,1,25.0,6.75,0.0,0.0,0.0,0.0
BRU1,1,30.0,12.69,0.0,0.0,0.0,0.0
BRU3,1,30.0,26.52,0.0,0.0,0.0,0.0
BRU11,1,25.0,10.0,0.0,0.0,0.0,0.0
BRU12,1,25.0,6.58,0.0,0.0,0.0,0.0
BRU13,1,30.0,9.1,0.0,0.0,0.0,0.0
BRU15,1,25.0,9.9,0.0,0.0,0.0,0.0
