CVE_PROD,DESC1,DESC2,TRANS
BRU63,"PREDNISONA, 5MG, 20 TABS.",,1
GAS-029,,,3
GAS-DIF,,,3
SRV2,,,1
SI,,,1
MAV67,"PRUEBA DE EMBARAZO TIPO PLUMA, 1 PRUEBA
",,3
VIC6,LOPERAMIDA 2MG C/12,,3
JAL11,"ALGODÓN, 25GR. 30 BOLSAS. JAL..",,3
MAV120,"IBUPROFENO, 100MG, 120ML, SUSP, INF.",,3
MAV121,"IBUPROFENO, 100MG, 120ML, SUSP, SOL,  INF.      (DOLVER)",,1
SNA14,SUPLEMENTOS,,1
SNA17,SUPLEMENTOS,,1
SNA20,"MIELDE ABEJA, MEZCLA DE PLANTAS, 50 PALETAS.",,1
SNA21,"VITAMINAS, MINERALES, 1.585 GR, 90 TABS.",,1
MAV122,"SILDENAFIL, 100MG, 1 TAB.",,3
MED3,"LOSARTAN, 50MG. 30 TABS.",,3
MAV69,"BETAMETASONA, 8MG/2ML, 1 AMP, INY. 1 JERINGA",,3
BRU26,"CEFTRIAXONA, 1G/3.5ML, 2ML. AMP.",,3
MVI2,"CLINDAMICINA, 300MG, 16 CAPS.",,3
LOE4,"METFORMINA, 850MG C/30 TABLETAS",,3
MVI14,"SILDENAFIL 50MG , 10 TAB",,3
LOE10,"BUTILHIOSCINA, METAMIZOL 20/2.5 G 5 ML, 1 AMP, SOL INY.",,1
DEG6,"SILDENAFIL, 50MG., 1 TABS.",,1
LIF6,"VITAMINAS,MINERALES, GINKGO BILOBA, PANAX Y GINSENG",,3
COL55,"NIMESULIDA, 100MG, 10 TABS.",,1
VAR28,"METRONIDAZOL,FLUOCINOLONA, NISTATINA 500/.50MG 100,000 U  10 OV.",,1
VAR45,"DIMENHIDRINATO GTAS  25MG, FRASCO 15ML (LAB. RAYERE)",,3
VAR46,"DIMENHIDRINATO INY.    50MG/1ML, C/3 AMP (LAB. RAYERE)",,3
VAR47,"DIMENHIDRINATO TABS  50MG, C/20 (LAB. RAYERE)",,3
LIF5,"SULFADIAZINA DE PLATA, 1 G, 28 G.",,3
LIF1,"ACIDO NALIDIXICO, FENAZOPIRIDINA, 500/50, 20 TABS.",,3
LIF7,"METOCARBAMOL, PARACETAMOL, 350/400 MG, 30 TABS.",,3
LIF12,"IBUPROFENO, PARACETAMOL, 325/200 MG, 20 TABS.",,3
LIF3,"CLORANFENICOL, 250 MG, 12 CAPS.",,3
LIF16,"PARACETAMOL, PARACETAMOL 500/20 MG, 10 TABS.",,3
LIF15,"PARACETAMOL, BUTILHIOSCINA, 100/2 MG, GTAS.",,3
ULTR36,"DICLOFENACO, 100MG, 20 TABS.  ARIFLAM",,3
LIF19,"KETOCONAZOL,  2 G, 120 ML, SHAMPOO",,3
ULTR37,"GLIBENCLAMIDA, 5MG, 50 TABS.",,3
ULTR3,"PIROXICAM, 20 MG, 20 TABS.",,3
CON5,"RANITIDINA,1.50G/100ML, 200 ML, SUSP.",,1
CON6,"BUTILHIOSCINA, 6.67MG/ 1ML, 15 ML, GTS.",,3
CON7,"QUINFAMIDA, ALBENDAZOL,10MG/20MG,10 ML, SUSP.",,3
CON8,"PICOSULFATO DE SODIO, 750MG/100ML, 30ML GTS.",,3
MAV26,"DESLORATADINA, 50MG, 120ML, SUSP.",,3
VAR48,"AMPICILINA, 500 MG, 20 CAPS.",,1
MAV43,"PARACETAMOL, FENILEFRINA, DEXTROMETORFANO, (MORADO) /0.125G, 30ML, GTS, PED.",,3
MAV50,"SILDENAFIL, 50MG, 4 TABS.",,3
LOE11,"LACTULOSA, 66.66 G, 125 ML JBE.",,3
DAN1,"CARBOMERO, CEDRO BLANCO, SABILA, MENTA, 150ML. SHAMPOO.",,3
VAR21,OXIDO DE ZINC PASTA 25G TARRO  C/30 GR,,1
ULTR34,"CINARIZINA, 75MG, 60 TABS.",,3
COL53,"LEVOTIROXINA SODICA 
0.100MG C/100 TABS",,1
LOE24,"METOCLOPRAMIDA, 400 MG, 20 ML, GTAS.",,3
VAR49,"FLOROGLUCINOL, TRIMETILFLOROGLUCINOL 80MG/ 80 MG, 20 CAPS. (LAB. ATLANTIS F)",,3
NOV15,"CLOPIDOGREL, 75MG. 14 TABS",,3
VAR16,"NIFEDIPINO 30MG C/30 TABS
  notinzalten",,1
VAR50,"PRUEBA DE EMBARAZO, TIPO TIRA SOBRE, 1 PZA (MEXLAB)",,3
ALPH7,"OSELTAMIVIR, 75 MG, 10 CAPS.",,3
NAT7,"LACTOBACILOS, 5G, 6 SOBRES.  (INFANTIL)",,3
DAN5,"CASTAÑO DE INDIAS, ROMERO, VITAMINA A, E, 250 G. GEL.",,1
MVI15,"CLARITROMICINA, 500MG, 10 TABS.",,3
SER25,"DICLOFENACO, COMPLEJO B, 50/50/1/50MG, C/30",,3
SER26,"HARINA DE SOYA, 90GR, 1 SOBRE.",,3
COL77,"NAFAZOLINA, FENIRAMINA, 0.16/3 MG 15ML, GTS.",,3
MVI16,"BENCIDAMINA, 5G. 60G, CMA.",,3
MVI18,"BENCIDAMINA, 45MG/30ML, 30ML. SPRAY",,3
MVI17,"BENCIDAMINA, 150MG/100ML, FRASCO 360ML. SOL.",,3
MVI20,ATORVASTATINA CALCICA 20MG TABS C/10,,3
MVI22,"NAPROXENO, CARISOPRODOL, 250MG/200MG, 30 CAPS.",,1
MVI24,"CLINDAMICINA FOSFATO CMA  2G, TUBO 40G Y C/7 APLICADORES VAGINALES",,3
MVI25,"PINAVERIO 100MG, 14 TABS. BROMURO",,3
MVI26,"TRIMEBUTINA, 200MG, 30 TABS.",,3
MVI3,NIMESULIDA 100MG C/10 TAB,,3
MVI27,"CLOTRIMAZOL 2G, 20G, 3 APLICADORES.",,3
MVI29,"DICLOFENACO, 1.160%G TUBO 60G.",,3
MVI30,"LORATADINA, AMBROXOL SUSP 100/600MG, FRASCO 120ML",,3
MVI31,"MELOXICAM, 15MG, 10TAB.",,3
MVI33,"SUBSALICILATO DE BISMUTO, 262MG, 24 TAB. MASTICABLE.",,3
