CSE_PROD,CVE_PROD,NOM_PROD,DESC_PROD,UNI_MED,UNI_MED_P,COSTO_PROD,F_ACT_CTO,F_ACT_PRE,CTO_ENT,LOCA,STACLAS1,STAIVA,PORCENIVA,CVE_TIAL,FEC_ENT,CTO_ANT,FEC_ANT,CVE_MONP,CVE_MONC,CVE_MONA,STALOTE,DIASVIDA,CONLOTE,CVE_RIE,PZAS,PESO,PRECIO2,PRECIO3,CVE_CLASI,PRESENTA,STAENV,CVE_ENV,CONTABLE1,CONTABLE2,CONTABLE3,CONTABLE4,CONTABLE5,CONTABLE6,CONTABLE7,CAPACIDAD,DESC_PROD2,CONV_VAR,CVE_CARAC,BASE_PROM,FACT_PESO,FRAC_ARANC,PORCADVALO,STARETIVA,KIT,DATO_1,DATO_2,DATO_3,DATO_4,DIASREQUER,DATO_5,DATO_6,DATO_7,DATO_8,SUB_CSE,SUB_SUBCSE,CODBAR,STAPITEX,TRANS,STAIEPS,PORCENIEPS,PROV_STD,LISTA_MED,GRAL_MED,PROV_MED,CLIE_MED,IMAG_MED,MAXM_MED,PROMUEPEPS,COSTUEPEPS,PORRETIVA,STARETISR,PORRETISR,COSTOPROM2,MES_MAX,MES_MIN,MES_PR,CADCAPT,MRGPROD,PORCMRG,REGYABLQ,UNI_EMB,PBASEPR,DCTOPB1,DCTOPB2,DCTOPB3,DCTOPB4,DCTOPB5,DCTOPB6,CVEDE1,CVEDE2,CVEDE3,CVEDE4,CONFLOTP,CONFLOTS,CONFLOTR,CONFLOTI,CONFLOTL,CONFLOTM,CONFLOTF,FVERIMOV,UNI_IEPS,MONTO_IEPS,IVA_IEPS,TIPO_IEPS,CHKPREDIAL,CTAPREDIAL,KITPCAL,NOPROMOP,PESOP,ALTOP,LARGOP,ANCHOP,C_PRDS,SUG_USO,USO_PRD,STAIMPTO1,STAIMPTO2,PORIMPTO1,PORIMPTO2,EQUI_MED,DATO_9,DATO_10,DATO_11,DATO_12,PORM1IEPS,UNI1IEPS,MONTO1IEPS,IVA1IEPS,PORM2IEPS,UNI2IEPS,MONTO2IEPS,IVA2IEPS,CVE_STCC,CVE_MAT_PE,ESMPELIG,CVE_EMB,MAT_MOST,NOOBJI,ACTFIJO
MED,COL1,,AMPIGRIN ADULTO 500MG INY C/3 C/JERIN,PZ,,50.16,,2025-07-30,58.0,,0,2,0.0,1,2025-10-09,0.0,2025-10-07,1,1,1,1,0,1,,0,0.0,0.0,0.0,0,,0,,,,,,,,,0.0,,0,,False,382.8,,0.0,2,0,"3,490.00",,0,CAJA40,0,,,,,,,780083140922,0,1,0,0.0,0,,1,1,1,1,1,1,0.0,0.0,1,0.0,58.0,0.0,0.0,0.0,1,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,,0,0,0,0,0,2025-01-01,,0.0,0,0,0,,0,0,0.0,0.0,0.0,0.0,51101500,False,,1,1,0.0,0.0,0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,False,0.0,0.0
MED,COL2,,AMPIGRIN INFANTIL SOL INY C/3 C/JERIN,PZ,,46.0,,2024-11-27,56.0,,0,2,0.0,1,2025-07-23,0.0,2025-07-22,1,1,1,1,0,1,,0,0.0,0.0,0.0,0,,0,,,,,,,,,0.0,,0,,False,329.94,,0.0,2,0,671.00,,0,CAJA40,0,,,,,,,780083140939,0,1,0,0.0,0,,1,1,1,1,1,1,0.0,0.0,1,0.0,44.1,0.0,0.0,0.0,1,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,,0,0,0,0,0,2025-01-01,,0.0,0,0,0,,0,0,0.0,0.0,0.0,0.0,51101500,False,,1,1,0.0,0.0,0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,False,0.0,0.0
MED,COL3,,CIGMADIL 300 MG C/16 (CLINDAMICINA),PZ,,23.0,,2025-09-08,24.81,,0,2,0.0,1,2025-09-29,0.0,2025-09-08,1,1,1,1,0,1,,0,0.0,0.0,0.0,0,,0,,,,,,,,,0.0,,0,,False,286.87,,0.0,2,0,"1,981.00",,0,CAJA96,0,,,,,,,780083142605,0,3,0,0.0,0,,1,1,1,1,1,1,0.0,0.0,1,0.0,23.0,0.0,0.0,0.0,1,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,,0,0,0,0,0,2025-01-01,,0.0,0,0,0,,0,0,0.0,0.0,0.0,0.0,51101504,False,,1,1,0.0,0.0,0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,False,0.0,0.0
MED,COL4,,FACELIT 500 C/12 CAPS (CEFALEXINA),PZ,,0.0,,2024-03-20,25.0,,0,2,0.0,99998,2024-06-25,0.0,2023-08-11,1,1,1,1,0,1,,0,0.0,0.0,0.0,0,,0,,,,,,,,,0.0,,0,,False,168.75,,0.0,2,0,0.00,,0,CAJA100,0,,,,,,,780083141776,0,2,0,0.0,0,,1,1,1,1,1,1,0.0,0.0,1,0.0,25.0,0.0,0.0,0.0,1,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,,0,0,0,0,0,2025-01-01,,0.0,0,0,0,,0,0,0.0,0.0,0.0,0.0,51101550,False,,1,1,0.0,0.0,0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,False,0.0,
MED,COL5,,FACELIT 500 C/20 CAPS (CEFALEXINA),PZ,,0.0,,2024-03-20,33.0,,0,2,0.0,99998,2024-06-25,0.0,2023-08-11,1,1,1,1,0,1,,0,0.0,0.0,0.0,0,,0,,,,,,,,,0.0,,0,,False,220.71,,0.0,2,0,0.00,,0,CAJA 96,0,,,,,,,780083141820,0,3,0,0.0,0,,1,1,1,1,1,1,0.0,0.0,1,0.0,33.0,0.0,0.0,0.0,1,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,,0,0,0,0,0,2025-01-01,,0.0,0,0,0,,0,0,0.0,0.0,0.0,0.0,51101550,False,,1,1,0.0,0.0,0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,False,0.0,
MED,COL6,,FLAGOSIL 400 CAPS C/30 (DIYODO METRON,PZ,,36.29,,2024-05-20,47.0,,0,2,0.0,1,2025-08-22,0.0,2025-08-21,1,1,1,1,0,1,,0,0.0,0.0,0.0,0,,0,,,,,,,,,0.0,,0,,False,214.56,,0.0,2,0,155.00,,0,CAJA120,0,,,,,,,780083139858,0,3,0,0.0,0,,1,1,1,1,1,1,0.0,0.0,1,0.0,45.60304348,0.0,0.0,0.0,1,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,,0,0,0,0,0,2025-01-01,,0.0,0,0,0,,0,0,0.0,0.0,0.0,0.0,51101600,False,,1,1,0.0,0.0,0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,False,0.0,0.0
MED,COL7,,COBEDINA NS SOL. PEDIATRICA (LORAT-BETAM,PZ,,12.39,,2025-07-02,22.0,,0,2,0.0,1,2025-07-23,0.0,2025-07-22,1,1,1,1,0,1,,0,0.0,0.0,0.0,0,,0,,,,,,,,,0.0,,0,,False,201.87,,0.0,2,0,0.00,,0,CAJA70,0,,,,,,,780083148546,0,1,0,0.0,0,,1,1,1,1,1,1,0.0,0.0,1,0.0,20.95919431,0.0,0.0,0.0,1,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,,0,0,0,0,0,2025-01-01,,0.0,0,0,0,,0,0,0.0,0.0,0.0,0.0,51142100,False,,1,1,0.0,0.0,0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,False,0.0,0.0
MED,COL8,,FACELIT 250 SUSPENSION 100ML,PZ,,0.0,,2024-03-20,31.0,,0,2,0.0,99998,2024-06-25,0.0,2023-08-11,1,1,1,1,0,1,,0,0.0,0.0,0.0,0,,0,,,,,,,,,0.0,,0,,False,192.32,,0.0,2,0,0.00,,0,CAJA 60,0,,,,,,,780083141653,0,3,0,0.0,0,,1,1,1,1,1,1,0.0,0.0,1,0.0,31.0,0.0,0.0,0.0,1,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,,0,0,0,0,0,2025-01-01,,0.0,0,0,0,,0,0,0.0,0.0,0.0,0.0,51101550,False,,1,1,0.0,0.0,0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,False,0.0,
MED,COL9,,GIMACLAV 875 C/15 TABLETAS,PZ,,0.0,,2024-03-20,56.79,,0,2,0.0,99998,2023-08-11,56.79,2023-08-11,1,1,1,1,0,1,,0,0.0,0.0,0.0,0,,0,,,,,,,,,0.0,,0,,False,480.0,,0.0,2,0,0.00,,0,CAJA100,0,,,,,,,780083144326,0,3,0,0.0,0,,1,1,1,1,1,1,0.0,0.0,1,0.0,56.79,0.0,0.0,0.0,1,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,,0,0,0,0,0,2025-01-01,,0.0,0,0,0,,0,0,0.0,0.0,0.0,0.0,51101500,False,,1,1,0.0,0.0,0,,,,,,,,,,,,,,,,,,,
MED,COL10,,GIMALXINA SUSP 250MG 75ML (AMOXICILINA),PZ,,17.5,,2025-10-09,22.96,,0,2,0.0,1,2025-10-14,0.0,2025-10-14,1,1,1,1,0,1,,0,0.0,0.0,0.0,0,,0,,,,,,,,,0.0,,0,,False,141.04,,0.0,2,0,"1,404.00",,0,CAJA50,0,,,,,,,780083141875,0,3,0,0.0,0,,1,1,1,1,1,1,0.0,0.0,1,0.0,20.0,0.0,0.0,0.0,1,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,,0,0,0,0,0,2025-01-01,,0.0,0,0,0,,0,0,0.0,0.0,0.0,0.0,51101511,False,,1,1,0.0,0.0,0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,False,0.0,0.0
MED,COL11,,GIMALXINA 500 C/12 CAPS (AMOXICILINA),PZ,,17.0,,2024-03-20,18.0,,0,2,0.0,1,2025-10-14,0.0,2025-09-24,1,1,1,1,0,1,,0,0.0,0.0,0.0,0,,0,,,,,,,,,0.0,,0,,False,115.49,,0.0,2,0,"2,260.00",,0,CAJA162,0,,,,,,,780083140663,0,3,0,0.0,0,,1,1,1,1,1,1,0.0,0.0,1,0.0,17.00385356,0.0,0.0,0.0,1,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,,0,0,0,0,0,2025-01-01,,0.0,0,0,0,,0,0,0.0,0.0,0.0,0.0,51101511,False,,1,1,0.0,0.0,0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,False,0.0,0.0
MED,COL12,,DOLPROFEN 800 C/10 (IBUPROFENO),PZ,,13.0,,2025-10-08,17.0,,0,2,0.0,1,2025-10-09,0.0,2025-10-08,1,1,1,1,0,1,,0,0.0,0.0,0.0,0,,0,,,,,,,,,0.0,,0,,False,140.3,,0.0,2,0,"5,064.00",,0,CAJA96,0,,,,,,,780083148805,0,1,0,0.0,0,,1,1,1,1,1,1,0.0,0.0,1,0.0,17.0,0.0,0.0,0.0,1,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,,0,0,0,0,0,2025-01-01,,0.0,0,0,0,,0,0,0.0,0.0,0.0,0.0,51142106,False,,1,1,0.0,0.0,0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,False,0.0,0.0
MED,COL13,,KENZOFLEX 250MG C/12 TAB (CIPROFLOXACINO,PZ,,0.0,,2024-03-20,9.0,,0,2,0.0,99998,2025-02-20,0.0,2024-09-24,1,1,1,1,0,1,,0,0.0,0.0,0.0,0,,0,,,,,,,,,0.0,,0,,False,107.99,,0.0,2,0,0.00,,0,CAJA234,0,,,,,,,780083140526,0,3,0,0.0,0,,1,1,1,1,1,1,0.0,0.0,1,0.0,8.0,0.0,0.0,0.0,1,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,,0,0,0,0,0,2025-01-01,,0.0,0,0,0,,0,0,0.0,0.0,0.0,0.0,51101500,False,,1,1,0.0,0.0,0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,False,0.0,0.0
MED,COL14,,KENZOFLEX 500MG TABS C/12 CIPROFLOX,PZ,,13.62,,2025-09-23,18.5,,0,2,0.0,1,2025-09-24,0.0,2025-09-23,1,1,1,1,0,1,,0,0.0,0.0,0.0,0,,0,,,,,,,,,0.0,,0,,False,185.27,,0.0,2,0,503.00,,0,CAJA162,0,,,,,,,780083140540,0,1,0,0.0,0,,1,1,1,1,1,1,0.0,0.0,1,0.0,13.62,0.0,0.0,0.0,1,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,,0,0,0,0,0,2025-01-01,,0.0,0,0,0,,0,0,0.0,0.0,0.0,0.0,51101500,False,,1,1,0.0,0.0,0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,False,0.0,0.0
MED,COL15,,UNIQUIN 750MG C/7 (LEVOFLOXACINO),PZ,,25.0,,2025-01-14,25.0,,0,2,0.0,1,2025-08-12,0.0,2025-08-12,1,1,1,1,0,1,,0,0.0,0.0,0.0,0,,0,,,,,,,,,0.0,,0,,False,397.89,,0.0,2,0,0.00,,0,CAJA 96,0,,,,,,,780083146856,0,1,0,0.0,0,,1,1,1,1,1,1,0.0,0.0,1,0.0,25.0,0.0,0.0,0.0,1,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,,0,0,0,0,0,2025-01-01,,0.0,0,0,0,,0,0,0.0,0.0,0.0,0.0,51101500,False,,1,1,0.0,0.0,0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,False,0.0,0.0
